id,post_id,thread_id,type,comment_id,old_visual_id,visual_id,issue,formula
25,2453,1,answer,,319,319,, <semantics><mi>T</mi></semantics> 
26,2453,1,answer,,67,67,, <semantics><mi>x</mi></semantics> 
27,2453,1,answer,,1805,1805,, <semantics><mi>f</mi><mo>⁢</mo><mo>(</mo><mi>x</mi><mo>)</mo></semantics> 
28,2453,1,answer,,319,319,, <semantics><mi>T</mi></semantics> 
29,2453,1,answer,,1805,1805,, <semantics><mi>f</mi><mo>⁢</mo><mo>(</mo><mi>x</mi><mo>)</mo></semantics> 
30,52,1,answer,,87828,87828,," <semantics><msub><mi>a</mi><mn>1</mn></msub><mo>,</mo><msub><mi>a</mi><mn>2</mn></msub><mo>,</mo><msub><mi>a</mi><mn>3</mn></msub><mo>,</mo><mi>…</mi></semantics> "
31,52,1,answer,,1010731,1010731,," <semantics><mn>0</mn><mo>,</mo><mn>1</mn><mo>,</mo><mo>-</mo><mn>1</mn><mo>,</mo><mn>2</mn><mo>,</mo><mo>-</mo><mn>2</mn><mo>,</mo><mn>3</mn><mo>,</mo><mo>-</mo><mn>3</mn><mo>,</mo><mi>…</mi></semantics> "
32,52,1,answer,,8229745,8229745,," <semantics><mfrac><mn>1</mn><mn>1</mn></mfrac><mo>,</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>,</mo><mfrac><mn>2</mn><mn>1</mn></mfrac><mo>,</mo><mfrac><mn>1</mn><mn>3</mn></mfrac><mo>,</mo><mfrac><mn>2</mn><mn>2</mn></mfrac><mo>,</mo><mfrac><mn>3</mn><mn>1</mn></mfrac><mo>,</mo><mfrac><mn>1</mn><mn>4</mn></mfrac><mo>,</mo><mfrac><mn>2</mn><mn>3</mn></mfrac><mo>,</mo><mfrac><mn>3</mn><mn>2</mn></mfrac><mo>,</mo><mfrac><mn>4</mn><mn>1</mn></mfrac><mo>,</mo><mfrac><mn>1</mn><mn>5</mn></mfrac><mo>,</mo><mfrac><mn>2</mn><mn>4</mn></mfrac><mo>,</mo><mi>…</mi></semantics> "
33,52,1,answer,,8229746,8229746,," <semantics><mfrac><mn>1</mn><mn>1</mn></mfrac><mo>,</mo><mfrac><mn>2</mn><mn>2</mn></mfrac></semantics> "
34,52,1,answer,,1067413,1067413,," <semantics><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>,</mo><mfrac><mn>2</mn><mn>4</mn></mfrac></semantics> "
35,52,1,answer,,8229747,8229747,," <semantics><mfrac><mn>1</mn><mn>1</mn></mfrac><mo>,</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>,</mo><mfrac><mn>2</mn><mn>1</mn></mfrac><mo>,</mo><mfrac><mn>1</mn><mn>3</mn></mfrac><mo>,</mo><mfrac><mn>3</mn><mn>1</mn></mfrac><mo>,</mo><mfrac><mn>1</mn><mn>4</mn></mfrac><mo>,</mo><mfrac><mn>2</mn><mn>3</mn></mfrac><mo>,</mo><mfrac><mn>3</mn><mn>2</mn></mfrac><mo>,</mo><mfrac><mn>4</mn><mn>1</mn></mfrac><mo>,</mo><mfrac><mn>1</mn><mn>5</mn></mfrac><mo>,</mo><mi>…</mi></semantics> "
36,52,1,answer,,20335,20335,, <semantics><msub><mi>q</mi><mi>n</mi></msub></semantics> 
37,52,1,answer,,177,177,, <semantics><mi>n</mi></semantics> 
38,52,1,answer,,8229748,8229748,," <semantics><mn>0</mn><mo>,</mo><msub><mi>q</mi><mn>1</mn></msub><mo>,</mo><mo>-</mo><msub><mi>q</mi><mn>1</mn></msub><mo>,</mo><msub><mi>q</mi><mn>2</mn></msub><mo>,</mo><mo>-</mo><msub><mi>q</mi><mn>2</mn></msub><mo>,</mo><msub><mi>q</mi><mn>3</mn></msub><mo>,</mo><mo>-</mo><msub><mi>q</mi><mn>3</mn></msub><mo>,</mo><mi>…</mi></semantics> "
39,5,5,question,,700,700,, <semantics><msqrt><mn>2</mn></msqrt></semantics> 
40,5,5,question,,700,700,, <semantics><msqrt><mn>2</mn></msqrt></semantics> 
45,5,5,comment,4731036.0,24677,24677,," <semantics><mi>gcd</mi><mo>⁡</mo><mo>(</mo><mi>a</mi><mo>,</mo><mi>b</mi><mo>)</mo><mo>=</mo><mn>1</mn></semantics> "
46,5,5,comment,4731036.0,2722865,2722865,, <semantics><msqrt><mi>n</mi></msqrt><mo>=</mo><mfrac><mi>a</mi><mi>b</mi></mfrac></semantics> 
47,5,5,comment,4731036.0,159,159,, <semantics><mi>a</mi></semantics> 
48,5,5,comment,4731036.0,368,368,, <semantics><mi>b</mi></semantics> 
49,5,5,comment,4731036.0,4105407,4105407,, <semantics><msup><mi>a</mi><mn>2</mn></msup><mo>=</mo><msup><mi>b</mi><mn>2</mn></msup><mo>⁢</mo><mi>n</mi></semantics> 
50,5,5,comment,4731036.0,483,483,, <semantics><msup><mi>b</mi><mn>2</mn></msup></semantics> 
51,5,5,comment,4731036.0,4601348,4601348,, <semantics><msup><mi>b</mi><mn>2</mn></msup><mo>⁢</mo><mi>n</mi></semantics> 
52,5,5,comment,4731036.0,599197,599197,, <semantics><msup><mi>b</mi><mn>2</mn></msup><mo>|</mo><msup><mi>a</mi><mn>2</mn></msup></semantics> 
53,5,5,comment,4731036.0,74,74,, <semantics><mi>p</mi></semantics> 
54,5,5,comment,4731036.0,368,368,, <semantics><mi>b</mi></semantics> 
55,5,5,comment,4731036.0,74,74,, <semantics><mi>p</mi></semantics> 
56,5,5,comment,4731036.0,3589,3589,, <semantics><msup><mi>a</mi><mn>2</mn></msup></semantics> 
57,5,5,comment,4731036.0,60745,60745,, <semantics><mi>p</mi><mo>|</mo><mi>a</mi></semantics> 
58,5,5,comment,4731036.0,24677,24677,," <semantics><mi>gcd</mi><mo>⁡</mo><mo>(</mo><mi>a</mi><mo>,</mo><mi>b</mi><mo>)</mo><mo>=</mo><mn>1</mn></semantics> "
59,5,5,comment,4731036.0,368,368,, <semantics><mi>b</mi></semantics> 
60,5,5,comment,4731036.0,18671,18671,, <semantics><mi>b</mi><mo>=</mo><mo>-</mo><mn>1</mn></semantics> 
61,5,5,comment,4731036.0,490,490,, <semantics><mi>b</mi><mo>=</mo><mn>1</mn></semantics> 
62,5,5,comment,4731036.0,45827,45827,, <semantics><mfrac><mi>a</mi><mi>b</mi></mfrac></semantics> 
63,7,5,answer,,700,700,, <semantics><msqrt><mn>2</mn></msqrt></semantics> 
64,7,5,answer,,9130,9130,, <semantics><mi>p</mi><mo>/</mo><mi>q</mi></semantics> 
65,7,5,answer,,454332,454332,, <semantics><mn>2</mn><mo>⁢</mo><msup><mi>q</mi><mn>2</mn></msup><mo>=</mo><msup><mi>p</mi><mn>2</mn></msup></semantics> 
66,7,5,answer,,5006,5006,, <semantics><msup><mi>q</mi><mn>2</mn></msup></semantics> 
67,7,5,answer,,7594,7594,, <semantics><msup><mi>p</mi><mn>2</mn></msup></semantics> 
68,7,5,answer,,7593,7593,, <semantics><mn>2</mn><mo>⁢</mo><msup><mi>q</mi><mn>2</mn></msup></semantics> 
69,7,5,answer,,7594,7594,, <semantics><msup><mi>p</mi><mn>2</mn></msup></semantics> 
94,7,5,comment,5667515.0,700,700,, <semantics><msqrt><mn>2</mn></msqrt></semantics> 
95,16526,5,answer,,1294,1294,, <semantics><mi>π</mi></semantics> 
96,16526,5,answer,,700,700,, <semantics><msqrt><mn>2</mn></msqrt></semantics> 
97,16526,5,answer,,125192,125192,, <semantics><mn>1</mn><mo>+</mo><msqrt><mn>2</mn></msqrt></semantics> 
98,16526,5,answer,,7599796,7599796,, <semantics><mi>v</mi><mo>=</mo><mn>1</mn><mo>+</mo><msqrt><mn>2</mn></msqrt></semantics> 
99,16526,5,answer,,8229753,8229753,, <semantics><msup><mi>v</mi><mn>2</mn></msup><mo>-</mo><mn>2</mn><mo>⁢</mo><mi>v</mi><mo>-</mo><mn>1</mn><mo>=</mo><mn>0</mn></semantics> 
100,16526,5,answer,,8229754,8229754,, <semantics><mi>v</mi><mo>=</mo><mn>2</mn><mo>+</mo><mfrac><mn>1</mn><mi>v</mi></mfrac></semantics> 
101,16526,5,answer,,8229755,8229755,, <semantics><mn>1</mn><mo>+</mo><msqrt><mn>2</mn></msqrt><mo>=</mo><mn>2</mn><mo>+</mo><mfrac><mfrac><mn>1</mn><mn>2</mn><mo>+</mo><mi>…</mi></mfrac></mfrac></semantics> 
102,16526,5,answer,,125192,125192,, <semantics><mn>1</mn><mo>+</mo><msqrt><mn>2</mn></msqrt></semantics> 
103,16526,5,answer,,700,700,, <semantics><msqrt><mn>2</mn></msqrt></semantics> 
104,2077,5,answer,,700,700,, <semantics><msqrt><mn>2</mn></msqrt></semantics> 
105,2077,5,answer,,51002,51002,, <semantics><mi>a</mi><mo>/</mo><mi>b</mi></semantics> 
106,2077,5,answer,,3226203,3226203,, <semantics><msup><mi>a</mi><mn>2</mn></msup><mo>=</mo><mn>2</mn><mo>⁢</mo><msup><mi>b</mi><mn>2</mn></msup><mo>.</mo></semantics> 
107,2077,5,answer,,3589,3589,, <semantics><msup><mi>a</mi><mn>2</mn></msup></semantics> 
108,2077,5,answer,,2775866,2775866,, <semantics><mn>0</mn></semantics> 
109,2077,5,answer,,342,342,, <semantics><mn>1</mn></semantics> 
110,2077,5,answer,,1253,1253,, <semantics><mn>4</mn></semantics> 
111,2077,5,answer,,339,339,, <semantics><mn>5</mn></semantics> 
112,2077,5,answer,,340,340,, <semantics><mn>6</mn></semantics> 
113,2077,5,answer,,3052,3052,, <semantics><mn>9</mn></semantics> 
114,2077,5,answer,,147068,147068,, <semantics><mn>2</mn><mo>⁢</mo><msup><mi>b</mi><mn>2</mn></msup></semantics> 
115,2077,5,answer,,2775866,2775866,, <semantics><mn>0</mn></semantics> 
116,2077,5,answer,,358,358,, <semantics><mn>2</mn></semantics> 
117,2077,5,answer,,2663,2663,, <semantics><mn>8</mn></semantics> 
118,2077,5,answer,,3589,3589,, <semantics><msup><mi>a</mi><mn>2</mn></msup></semantics> 
119,2077,5,answer,,147068,147068,, <semantics><mn>2</mn><mo>⁢</mo><msup><mi>b</mi><mn>2</mn></msup></semantics> 
120,2077,5,answer,,2775866,2775866,, <semantics><mn>0</mn></semantics> 
121,2077,5,answer,,159,159,, <semantics><mi>a</mi></semantics> 
122,2077,5,answer,,2775866,2775866,, <semantics><mn>0</mn></semantics> 
123,2077,5,answer,,368,368,, <semantics><mi>b</mi></semantics> 
124,2077,5,answer,,2775866,2775866,, <semantics><mn>0</mn></semantics> 
125,2077,5,answer,,339,339,, <semantics><mn>5</mn></semantics> 
126,2077,5,answer,,159,159,, <semantics><mi>a</mi></semantics> 
127,2077,5,answer,,368,368,, <semantics><mi>b</mi></semantics> 
128,2077,5,answer,,339,339,, <semantics><mn>5</mn></semantics> 
129,2077,5,answer,,51002,51002,, <semantics><mi>a</mi><mo>/</mo><mi>b</mi></semantics> 
150,16,5,answer,,700,700,, <semantics><msqrt><mn>2</mn></msqrt></semantics> 
151,16,5,answer,,8229756,8229756,, <semantics><mi>R</mi><mo>=</mo><msqrt><mn>2</mn></msqrt><mo>=</mo><mfrac><mi>Q</mi><mi>D</mi></mfrac></semantics> 
152,16,5,answer,,202,202,, <semantics><mi>Q</mi></semantics> 
153,16,5,answer,,524,524,, <semantics><mi>D</mi></semantics> 
154,16,5,answer,,277,277,, <semantics><mi>R</mi></semantics> 
155,16,5,answer,,8229757,8229757,, <semantics><msup><mi>R</mi><mn>2</mn></msup><mo>=</mo><mn>2</mn><mo>=</mo><mfrac><msup><mi>Q</mi><mn>2</mn></msup><msup><mi>D</mi><mn>2</mn></msup></mfrac></semantics> 
156,16,5,answer,,202,202,, <semantics><mi>Q</mi></semantics> 
157,16,5,answer,,524,524,, <semantics><mi>D</mi></semantics> 
158,16,5,answer,,73913,73913,, <semantics><msup><mi>Q</mi><mn>2</mn></msup></semantics> 
159,16,5,answer,,358,358,, <semantics><mn>2</mn></semantics> 
160,16,5,answer,,8229758,8229758,, <semantics><msup><mi>Q</mi><mn>2</mn></msup><mo>=</mo><msup><mn>2</mn><mn>1</mn></msup><mo>⁢</mo><mi>x</mi></semantics> 
161,16,5,answer,,67,67,, <semantics><mi>x</mi></semantics> 
162,16,5,answer,,73913,73913,, <semantics><msup><mi>Q</mi><mn>2</mn></msup></semantics> 
163,16,5,answer,,700,700,, <semantics><msqrt><mn>2</mn></msqrt></semantics> 
164,16544,5,answer,,3375,3375,, <semantics><mi>ℤ</mi></semantics> 
165,16544,5,answer,,1034895,1034895,, <semantics><mi>r</mi><mo>=</mo><msqrt><mi>n</mi></msqrt></semantics> 
166,16544,5,answer,,286,286,, <semantics><mi></mi></semantics> 
167,16544,5,answer,,993,993,, <semantics><mi>n</mi><mo>∈</mo><mi>ℕ</mi></semantics> 
168,16544,5,answer,,286,286,, <semantics><mi></mi></semantics> 
169,16544,5,answer,,7619721,7619721,," <semantics><mi>r</mi><mo>=</mo><mfrac><mi>A</mi><mi>B</mi></mfrac><mo>,</mo></semantics> "
170,16544,5,answer,,7619722,7619722,, <semantics><mi>B</mi><mo>></mo><mn>0</mn><mo>.</mo></semantics> 
171,16544,5,answer,,7619723,7619723,, <semantics><msqrt><mi>n</mi></msqrt><mo>=</mo><mfrac><mi>n</mi><msqrt><mi>n</mi></msqrt></mfrac><mo>⇒</mo><mfrac><mi>A</mi><mi>B</mi></mfrac><mo>=</mo><mfrac><mi>nB</mi><mi>A</mi></mfrac><mo>.</mo></semantics> 
172,16544,5,answer,,710002,710002,, <semantics><mfrac><mi>b</mi><mi>B</mi></mfrac><mo>=</mo><mfrac><mi>a</mi><mi>A</mi></mfrac></semantics> 
173,16544,5,answer,,710003,710003,, <semantics><mn> 0</mn><mo>≤</mo><mi>b</mi><mo><</mo><mi>B</mi><mo>.</mo></semantics> 
174,16544,5,answer,,8229759,8229759,, <semantics><mi>B</mi><mo>∤</mo><mi>A</mi><mo>⇒</mo><mi>b</mi><mo>≠</mo><mn>0</mn><mo>⇒</mo><mfrac><mi>A</mi><mi>B</mi></mfrac><mo>=</mo><mfrac><mi>a</mi><mi>b</mi></mfrac></semantics> 
175,16544,5,answer,,599,599,, <semantics><mi>B</mi></semantics> 
176,16544,5,answer,,286,286,, <semantics><mi></mi></semantics> 
177,16544,5,answer,,1034895,1034895,, <semantics><mi>r</mi><mo>=</mo><msqrt><mi>n</mi></msqrt></semantics> 
178,16544,5,answer,,286,286,, <semantics><mi></mi></semantics> 
179,16544,5,answer,,993,993,, <semantics><mi>n</mi><mo>∈</mo><mi>ℕ</mi></semantics> 
180,16544,5,answer,,286,286,, <semantics><mi></mi></semantics> 
181,16544,5,answer,,7619721,7619721,," <semantics><mi>r</mi><mo>=</mo><mfrac><mi>A</mi><mi>B</mi></mfrac><mo>,</mo></semantics> "
182,16544,5,answer,,7619722,7619722,, <semantics><mi>B</mi><mo>></mo><mn>0</mn><mo>.</mo></semantics> 
183,16544,5,answer,,8229760,8229760,, <semantics><msqrt><mi>n</mi></msqrt><mo>=</mo><mfrac><mi>n</mi><msqrt><mi>n</mi></msqrt></mfrac><mo>⇒</mo><mfrac><mi>A</mi><mi>B</mi></mfrac><mo>=</mo><mfrac><mi>nB</mi><mi>A</mi></mfrac><mo>⇒</mo><mi>B</mi><mo>|</mo><mi>A</mi></semantics> 
184,16544,5,answer,,286,286,, <semantics><mi></mi></semantics> 
185,16544,5,answer,,599,599,, <semantics><mi>B</mi></semantics> 
186,16544,5,answer,,710001,710001,, <semantics><mfrac><mi>A</mi><mi>B</mi></mfrac><mo>=</mo><mfrac><mi>C</mi><mi>D</mi></mfrac><mo>⇒</mo><mfrac><mi>D</mi><mi>B</mi></mfrac><mo>=</mo><mfrac><mi>C</mi><mi>A</mi></mfrac><mo>.</mo></semantics> 
187,16544,5,answer,,710002,710002,, <semantics><mfrac><mi>b</mi><mi>B</mi></mfrac><mo>=</mo><mfrac><mi>a</mi><mi>A</mi></mfrac></semantics> 
188,16544,5,answer,,710003,710003,, <semantics><mn> 0</mn><mo>≤</mo><mi>b</mi><mo><</mo><mi>B</mi><mo>.</mo></semantics> 
189,16544,5,answer,,710004,710004,, <semantics><mi>B</mi><mo>∤</mo><mi>D</mi><mo>⇒</mo><mi>b</mi><mo>≠</mo><mn>0</mn><mo>⇒</mo><mfrac><mi>A</mi><mi>B</mi></mfrac><mo>=</mo><mfrac><mi>a</mi><mi>b</mi></mfrac><mo> </mo></semantics> 
190,16544,5,answer,,6753,6753,, <semantics><mi>B</mi><mo>.</mo></semantics> 
191,16544,5,answer,,2087787,2087787,, <semantics><mi>B</mi><mo>∣</mo><mi>D</mi></semantics> 
192,16544,5,answer,,286,286,, <semantics><mi></mi></semantics> 
193,16544,5,answer,,430250,430250,," <semantics><mi>ℤ</mi><mo>,</mo></semantics> "
194,16596,5,answer,,27694,27694,, <semantics><msup><mi>x</mi><mn>2</mn></msup><mo>-</mo><mn>2</mn><mo>=</mo><mn>0</mn></semantics> 
195,16596,5,answer,,41222,41222,, <semantics><mo>±</mo><msqrt><mn>2</mn></msqrt></semantics> 
196,16596,5,answer,,45827,45827,, <semantics><mfrac><mi>a</mi><mi>b</mi></mfrac></semantics> 
197,16596,5,answer,,110220,110220,, <semantics><mi>a</mi><mo>|</mo><mn>2</mn></semantics> 
198,16596,5,answer,,240320,240320,, <semantics><mi>b</mi><mo>|</mo><mn>1</mn></semantics> 
199,16596,5,answer,,436830,436830,," <semantics><mfrac><mi>a</mi><mi>b</mi></mfrac><mo>∈</mo><mo>{</mo><mo>±</mo><mn>1</mn><mo>,</mo><mo>±</mo><mn>2</mn><mo>}</mo></semantics> "
200,16596,5,answer,,3009275,3009275,," <semantics><mn>1</mn><mo>,</mo><mo>-</mo><mn>1</mn><mo>,</mo><mn>2</mn><mo>,</mo><mo>-</mo><mn>2</mn></semantics> "
201,16596,5,answer,,27694,27694,, <semantics><msup><mi>x</mi><mn>2</mn></msup><mo>-</mo><mn>2</mn><mo>=</mo><mn>0</mn></semantics> 
202,16596,5,answer,,700,700,, <semantics><msqrt><mn>2</mn></msqrt></semantics> 
203,760289,5,answer,,700,700,, <semantics><msqrt><mn>2</mn></msqrt></semantics> 
204,760289,5,answer,,311436,311436,, <semantics><msqrt><mn>2</mn></msqrt><mo>=</mo><mi>a</mi><mo>/</mo><mi>b</mi></semantics> 
205,760289,5,answer,,159,159,, <semantics><mi>a</mi></semantics> 
206,760289,5,answer,,368,368,, <semantics><mi>b</mi></semantics> 
207,760289,5,answer,,8229761,8229761,," <semantics><mi>S</mi><mo>=</mo><mo>{</mo><mi>k</mi><mo>⁢</mo><msqrt><mn>2</mn></msqrt><mo>∣</mo><mi>k</mi><mo>,</mo><mi>k</mi><mo>⁢</mo><msqrt><mn>2</mn></msqrt><mo>⁢</mo><mtext> are integers</mtext><mo>}</mo></semantics> "
208,760289,5,answer,,3420929,3420929,, <semantics><mi>a</mi><mo>=</mo><mi>b</mi><mo>⁢</mo><msqrt><mn>2</mn></msqrt></semantics> 
209,760289,5,answer,,706,706,, <semantics><mi>s</mi></semantics> 
210,760289,5,answer,,3114765,3114765,, <semantics><mi>s</mi><mo>=</mo><mi>t</mi><mo>⁢</mo><msqrt><mn>2</mn></msqrt></semantics> 
211,760289,5,answer,,8229762,8229762,, <semantics><mi>s</mi><mo>⁢</mo><msqrt><mn>2</mn></msqrt><mo>-</mo><mi>s</mi><mo>=</mo><mo>(</mo><mi>s</mi><mo>-</mo><mi>t</mi><mo>)</mo><mo>⁢</mo><msqrt><mn>2</mn></msqrt><mo>=</mo><mi>s</mi><mo>⁢</mo><mo>(</mo><msqrt><mn>2</mn></msqrt><mo>-</mo><mn>1</mn><mo>)</mo></semantics> 
212,760289,5,answer,,706,706,, <semantics><mi>s</mi></semantics> 
213,760289,5,answer,,706,706,, <semantics><mi>s</mi></semantics> 
214,760289,5,answer,,700,700,, <semantics><msqrt><mn>2</mn></msqrt></semantics> 
215,987288,5,answer,,177,177,, <semantics><mi>n</mi></semantics> 
216,987288,5,answer,,3802,3802,, <semantics><msup><mi>n</mi><mn>2</mn></msup></semantics> 
217,987288,5,answer,,177,177,, <semantics><mi>n</mi></semantics> 
218,987288,5,answer,,8229763,8229763,, <semantics><msup><mo>(</mo><mn>2</mn><mo>⁢</mo><mi>k</mi><mo>)</mo><mn>2</mn></msup><mo>=</mo><mn>2</mn><mo>⁢</mo><mo>(</mo><mn>2</mn><mo>⁢</mo><msup><mi>k</mi><mn>2</mn></msup><mo>)</mo></semantics> 
219,987288,5,answer,,7812784,7812784,, <semantics><msup><mo>(</mo><mn>2</mn><mo>⁢</mo><mi>k</mi><mo>+</mo><mn>1</mn><mo>)</mo><mn>2</mn></msup><mo>=</mo><mn>2</mn><mo>⁢</mo><mo>(</mo><mn>2</mn><mo>⁢</mo><msup><mi>k</mi><mn>2</mn></msup><mo>+</mo><mn>2</mn><mo>⁢</mo><mi>k</mi><mo>)</mo><mo>+</mo><mn>1</mn></semantics> 
220,987288,5,answer,,147065,147065,, <semantics><msqrt><mn>2</mn></msqrt><mo>=</mo><mfrac><mi>a</mi><mi>b</mi></mfrac></semantics> 
221,987288,5,answer,,159,159,, <semantics><mi>a</mi></semantics> 
222,987288,5,answer,,368,368,, <semantics><mi>b</mi></semantics> 
223,987288,5,answer,,153564,153564,, <semantics><msup><mi>a</mi><mn>2</mn></msup><mo>=</mo><mn>2</mn><mo>⁢</mo><msup><mi>b</mi><mn>2</mn></msup></semantics> 
224,987288,5,answer,,8229764,8229764,, <semantics><mi></mi><mo>⟹</mo><msup><mi>a</mi><mn>2</mn></msup></semantics> 
225,987288,5,answer,,8229765,8229765,, <semantics><mi></mi><mo>=</mo><mn>2</mn><mo>⁢</mo><msup><mi>b</mi><mn>2</mn></msup></semantics> 
226,987288,5,answer,,593721,593721,, <semantics><mi></mi><mo>⟹</mo><mi>a</mi></semantics> 
227,987288,5,answer,,8229766,8229766,, <semantics><mi></mi><mo>⟹</mo><mi>a</mi><mo>=</mo><mn>2</mn><mo>⁢</mo><msub><mi>a</mi><mn>1</mn></msub></semantics> 
228,987288,5,answer,,8229767,8229767,, <semantics><msub><mi>a</mi><mn>1</mn></msub><mo>∈</mo><msup><mi>ℕ</mi><mo>*</mo></msup></semantics> 
229,987288,5,answer,,8229768,8229768,, <semantics><mi></mi><mo>⟹</mo><msup><mi>b</mi><mn>2</mn></msup><mo>=</mo><mn>2</mn><mo>⁢</mo><msubsup><mi>a</mi><mn>1</mn><mn>2</mn></msubsup></semantics> 
230,987288,5,answer,,368,368,, <semantics><mi>b</mi></semantics> 
231,987288,5,answer,,377764,377764,, <semantics><mi>b</mi><mo>=</mo><mn>2</mn><mo>⁢</mo><msub><mi>b</mi><mn>1</mn></msub></semantics> 
232,987288,5,answer,,8229769,8229769,, <semantics><msub><mi>b</mi><mn>1</mn></msub><mo>∈</mo><msup><mi>ℕ</mi><mo>*</mo></msup></semantics> 
233,987288,5,answer,,17946,17946,," <semantics><mo>(</mo><msub><mi>a</mi><mn>1</mn></msub><mo>,</mo><msub><mi>b</mi><mn>1</mn></msub><mo>)</mo></semantics> "
234,987288,5,answer,,1363900,1363900,, <semantics><msubsup><mi>a</mi><mn>1</mn><mn>2</mn></msubsup><mo>=</mo><mn>2</mn><mo>⁢</mo><msubsup><mi>b</mi><mn>1</mn><mn>2</mn></msubsup></semantics> 
235,987288,5,answer,,4146,4146,, <semantics><msub><mo>(</mo><msub><mi>a</mi><mi>n</mi></msub><mo>)</mo><mi>n</mi><mo>∈</mo><mi>ℕ</mi></msub></semantics> 
236,987288,5,answer,,12188,12188,, <semantics><msub><mo>(</mo><msub><mi>b</mi><mi>n</mi></msub><mo>)</mo><mi>n</mi><mo>∈</mo><mi>ℕ</mi></msub></semantics> 
237,987288,5,answer,,19053,19053,, <semantics><msup><mi>ℕ</mi><mo>*</mo></msup></semantics> 
238,987288,5,answer,,700,700,, <semantics><msqrt><mn>2</mn></msqrt></semantics> 
239,987288,5,answer,,2775866,2775866,, <semantics><mn>0</mn></semantics> 
240,987288,5,answer,,323934,323934,, <semantics><msub><mi>a</mi><mn>0</mn></msub><mo>=</mo><mi>a</mi></semantics> 
241,987288,5,comment,3039067.0,8229770,8229770,, <semantics><msup><mi>b</mi><mn>2</mn></msup><mo>=</mo><mn>2</mn><mo>⁢</mo><msubsup><mi>a</mi><mn>1</mn><mn>2</mn></msubsup></semantics> 
242,987288,5,comment,3039067.0,3589,3589,, <semantics><msup><mi>a</mi><mn>2</mn></msup></semantics> 
243,987288,5,comment,3039067.0,483,483,, <semantics><msup><mi>b</mi><mn>2</mn></msup></semantics> 
244,232342,5,answer,,700,700,, <semantics><msqrt><mn>2</mn></msqrt></semantics> 
245,232342,5,answer,,42375,42375,, <semantics><mi>f</mi><mo>⁢</mo><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><msup><mi>x</mi><mn>2</mn></msup><mo>-</mo><mn>2</mn></semantics> 
246,232342,5,answer,,8229771,8229771,, <semantics><msqrt><mn>2</mn></msqrt><mo>=</mo><mfrac><mi>n</mi><mi>m</mi></mfrac></semantics> 
247,232342,5,answer,,75046,75046,," <semantics><mi>n</mi><mo>,</mo><mi>m</mi><mo>∈</mo><mi>ℤ</mi></semantics> "
248,232342,5,answer,,9020,9020,, <semantics><mi>m</mi><mo>≠</mo><mn>0</mn></semantics> 
249,232342,5,answer,,8229772,8229772,, <semantics><mn>2</mn><mo>⁢</mo><msup><mi>m</mi><mn>2</mn></msup><mo>=</mo><msup><mi>n</mi><mn>2</mn></msup></semantics> 
250,232342,5,answer,,177,177,, <semantics><mi>n</mi></semantics> 
251,232342,5,answer,,4806,4806,, <semantics><mi>n</mi><mo>=</mo><mn>2</mn><mo>⁢</mo><mi>k</mi></semantics> 
